+====================+===================+============================+
| Launch Setup Clock | Launch Hold Clock | Pin                        |
+====================+===================+============================+
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[10][4]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[10][3]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[2][2]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[14][5]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[7][4]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[11][5]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[15][2]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[3][4]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[10][6]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[15][5]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[1][0]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[7][6]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[13][2]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[7][2]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[15][4]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[5][5]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[5][4]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[5][6]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[8][4]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[6][4]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[14][4]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[12][5]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[12][3]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[6][3]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[11][6]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[10][5]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[0][5]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[13][3]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[8][3]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[10][0]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[13][6]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[2][0]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[11][2]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[15][1]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[5][3]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[11][4]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[12][2]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[3][3]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[12][0]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[0][3]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[9][5]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[12][4]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[4][1]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[6][1]/D  |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[13][1]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[11][1]/D |
| sys_clk_pin        | sys_clk_pin       | ntt_inst/data_reg[8][1]/D  |
+--------------------+-------------------+----------------------------+
